Packet Number (n), App Timestamp (us),Sensor Timestamp (us),Fp1 (uV),Fp2 (uV),F3 (uV),Fz (uV),F4 (uV),T3 (uV),C3 (uV),Cz (uV),C4 (uV),T4 (uV),P3 (uV),Pz (uV),P4 (uV),O1 (uV),O2 (uV),Ref,AccX (mg),AccY (mg),AccZ (mg),Event A, Event B
,-3519,-4,-19,-9,-6,-9,-14,4,-14,-14,-7,-10,-9,-5,-4,-6,17,-7,,,,,
,-133,-9,7,9,5,-4,5,7,1,-3,-2,16,9,13,-4,-2,-9,-5,,,,,
,3,32,10,5,-5,10,2,4,15,10,3,5,5,5,13,12,-1,22,,,,,
,-957,-35,-3,-14,17,-6,-13,-12,-3,-5,1,-3,1,-2,-6,-5,-3,2,,,,,
,-142,,-1,,-5,-2,1,-21,-17,-2,-1,-3,-9,5,-6,-1,7,-2,,,,,
,607,,-6,10,-19,-3,6,7,-5,2,8,3,-7,-17,3,1,-2,-5,,,,,
,-478,2,-2,2,2,12,-1,6,16,13,,5,21,-3,4,-1,1,-17,,,,,
,420,2,2,1,11,-7,2,15,-6,-6,-11,-15,-9,2,-12,-5,-7,14,,,,,
,856,-3,-1,-6,-6,-3,-1,4,-1,-2,18,6,-2,2,6,17,5,7,,,,,
,-1057,-3,2,-5,6,3,9,-7,1,8,1,2,5,1,9,-4,4,-6,,,,,
,-145,1,5,-12,3,-2,-8,1,-9,-6,,-3,8,8,-8,-5,-3,2,,,,,
,1019,,-5,13,7,-10,2,2,17,6,-17,17,-10,-6,5,-8,-11,-2,,,,,
,-582,,5,-5,-5,1,-1,-13,,-13,6,-1,,10,-7,7,,-1,,,,,
,-113,,-7,,-3,9,9,-4,-14,12,3,-20,-6,-8,-6,-10,-4,-13,,,,,
,-348,,-1,4,-1,1,1,-1,2,-6,,4,-8,-5,8,5,19,4,,,,,
,305,-18,4,3,-4,4,-8,-2,-3,-3,-13,-5,-4,8,-8,5,-10,8,,,,,
,558,,18,-5,3,1,-1,19,-2,2,1,4,20,-9,5,6,-1,-1,,,,,
,-826,-6,-7,4,,-2,8,,7,-5,22,3,5,24,18,-4,23,14,,,,,
,104,6,-14,-1,7,-11,-7,-6,,-2,4,-11,-20,-5,-2,9,-4,-4,,,,,
,5,,-1,-10,,-2,,-7,-7,-2,-14,17,7,-12,-6,-11,-17,-2,,,,,
,302,-24,5,7,-6,10,-13,-8,-4,3,-4,3,-2,,-7,-9,,-6,,,,,
,-11,24,-55418,-55426,-55486,-55505,-55402,-55444,-55472,-55508,-55505,-55549,-55552,-55571,-55484,-55503,-55576,-55537,,,,,
,-323,1,-222783,-222915,-223138,-223272,-222815,-223012,-223153,-223185,-223163,-223325,-223437,-223392,-223020,-223212,-223447,-223334,,,,,
,1007,-25,-55984,-56015,-56083,-56132,-55993,-56053,-56100,-56086,-56070,-56124,-56165,-56125,-56034,-56102,-56160,-56111,,,,,
,1583,24,-1,11,16,13,3,18,-4,15,3,-7,1,-7,2,11,2,-5,,,,,
,-1315,-39,-7,-6,-28,11,-10,-12,2,-5,3,6,-9,11,-4,-1,-1,7,,,,,
,448,5,,-2,-2,-12,2,1,-10,-3,5,6,6,-3,11,-5,-7,4,,,,,
,1388,-9,6,15,22,-12,11,8,-1,-3,-20,-16,-6,9,-14,-5,-1,-15,,,,,
,-3128,1,3,-11,-2,-3,-1,-10,-4,,1,3,2,3,8,-2,10,2,,,,,
,-300,-11,-4,,2,5,-2,3,10,,-5,-2,8,-15,-2,8,-1,-5,,,,,
,464,-4,-2,-7,,,-6,-3,-12,1,9,15,7,12,-3,-4,-2,-2,,,,,
,-263,19,2,-2,-12,-2,-7,-14,,-3,11,-3,-9,-5,7,-1,-5,8,,,,,
,2819,-1,4,9,7,19,,15,7,3,-7,-5,-6,-20,1,-2,1,-2,,,,,
,-2660,-17,1,-1,10,1,-4,-14,-18,-12,-3,1,9,3,-2,10,6,2,,,,,
,1148,11,3,-5,-3,-7,-4,4,9,6,-1,-11,7,8,-1,-2,1,-11,,,,,
,-1399,3,8,12,2,2,15,12,11,3,-9,,-17,2,-2,-6,-7,-9,,,,,
,662,-33,-8,,1,7,5,-8,-7,9,11,3,-7,4,4,,7,14,,,,,
,1592,22,-13,-15,-10,-9,-7,1,2,-8,-1,-5,6,-4,3,-10,-3,10,,,,,
,-1965,1,3,4,14,9,,12,-2,-2,-8,9,,5,-6,8,-12,-7,,,,,
,-201,1,1,-3,-2,-10,-7,-18,-8,-4,15,1,4,7,-9,18,1,-1,,,,,
,-332,-20,,-6,-12,6,4,-4,3,-5,-2,-8,,-17,3,-8,13,8,,,,,
,291,14,5,4,-3,-6,15,9,3,11,-5,-10,,4,12,-8,7,-1,,,,,
,147,-29,6,2,2,-5,-3,-2,10,-5,7,3,-5,1,-2,3,-5,-5,,,,,
,-578,12,11,5,6,4,-23,-4,2,,-8,3,11,2,,-9,-7,-2,,,,,
,688,3,-8,7,3,1,4,10,-4,5,-2,-1,-11,4,-1,20,-2,-6,,,,,
,-30,-3,-10,-15,-5,11,14,-3,6,-1,7,8,2,-6,-6,-5,6,4,,,,,
,389,2,-4,11,-3,-14,-9,-1,4,9,-8,2,6,-6,7,-4,-3,7,,,,,
,-628,-1,6,-7,6,-8,-5,6,-3,-13,-8,8,3,12,7,-3,2,5,,,,,
,-147,-26,16,-1,10,16,10,-3,-3,-1,4,2,-5,-5,-11,-2,-11,-2,,,,,
,71,-6,-11,14,-11,-7,-6,-2,3,6,2,-2,-3,-1,-10,6,3,-11,,,,,
,-209,22,,-2,5,-8,10,10,-8,10,-4,4,-1,3,11,-8,1,-1,,,,,
,1089,-11,-1,-4,-2,,-4,-10,-13,-6,5,4,2,9,-3,3,-2,13,,,,,
,-184,8,7,-14,-5,17,4,-10,8,8,12,-5,11,-12,,-10,3,-9,,,,,
,-86,-1,-19,3,-3,-10,-5,10,-4,-18,8,,-9,,3,12,9,-2,,,,,
,-451,-19,4,1,-2,6,-16,-5,10,-1,-14,-5,-1,-5,-3,-7,,7,,,,,
,59,-1,7,10,-5,5,12,6,-3,13,-7,2,-3,-1,3,7,5,7,,,,,
,195,-10,-9,1,4,-11,17,-1,-11,-11,6,4,,13,7,6,-3,-8,,,,,
,436,28,6,-3,10,3,-12,2,3,,2,-11,6,1,8,8,-4,-4,,,,,
,173,-28,-4,-12,-12,-1,-8,5,6,-11,-13,-4,-3,-23,-12,-22,-4,-8,,,,,
,-759,7,8,7,10,2,6,-2,-1,22,-2,,-13,2,,8,8,13,,,,,
,998,1,-7,12,-9,-10,4,4,1,-6,14,-5,-2,11,,-2,-5,,,,,,
,-1105,15,-1,-2,12,-3,1,-2,1,-2,13,12,3,9,-5,-9,-1,-6,,,,,
,772,-28,4,-2,-8,,-18,-14,-3,-16,-7,4,7,-13,4,6,-4,4,,,,,
,-373,12,6,-3,7,,20,17,13,20,-3,-15,-7,6,-4,11,1,2,,,,,
,-658,1,-5,-8,-2,14,-6,2,4,8,1,5,7,,5,-6,2,-6,,,,,
,527,-2,-11,7,-9,-4,1,-12,-5,-13,5,,-2,6,4,2,-1,-2,,,,,
,-162,-12,20,-1,-1,-6,3,,-9,5,-1,2,2,-8,-14,,-7,-2,,,,,
,252,19,-3,2,2,2,-3,-10,-3,-9,-5,-7,6,-3,10,2,3,4,,,,,
,-354,-12,-6,-2,3,4,-5,-2,-3,8,-4,,-13,-3,-6,-10,5,-11,,,,,
,-290,-18,-11,-3,3,-11,-7,11,,-10,-15,7,2,3,-3,-6,-8,6,,,,,
,355,17,-2,2,2,-2,15,3,24,9,4,1,,8,4,2,-5,6,,,,,
,3,1,9,-2,-3,12,,3,-2,2,,-7,-4,-1,-7,7,3,7,,,,,
,-25,-15,9,-2,-10,10,-8,-7,-13,-3,1,-14,14,-7,2,3,9,3,,,,,
,-56,-3,,7,-6,-7,,14,3,3,-3,13,4,-2,10,3,5,-3,,,,,
,390,-1,-13,-1,14,6,2,-6,2,-8,6,4,-3,,-10,-5,-3,-12,,,,,
,3829,2,11,1,3,,7,-2,-2,6,4,-2,-1,11,5,7,-2,7,,,,,
