Packet No,App TimeStamp,Sensor TimeStamp,Fp1 (uV),Fp2 (uV),F3 (uV),Fz (uV),F4 (uV),T3 (uV),C3 (uV),Cz (uV),C4 (uV),T4 (uV),P3 (uV),Pz (uV),P4 (uV),O1 (uV),O2 (uV),ref (uV),AccX(mg),AccY(mg),AccZ(mg),Event A,Event B
,6,,14,-7,-458,4708,,,,,,,,,,,,5,,,,,
,1246,,-416,-1168,-2298,-2133,,,,,,,,,,,,7,,,,,
,-1541,-26,-1794,-5262,-8068,-19306,,,,,,,,,,,,-7,,,,,
,1149,25,-479,-1477,-1756,-9843,,,,,,,,,,,,,,,,,
,-813,-25,-18,14,-193,3034,,,,,,,,,,,,,,,,,
,504,2,460,1259,1676,8295,,,,,,,,,,,,14,,,,,
,-380,-18,1838,5299,8182,16783,,,,,,,,,,,,-10,,,,,
,416,,454,1393,2499,722,,,,,,,,,,,,-6,,,,,
,38,,-33,-70,546,-5401,,,,,,,,,,,,4,,,,,
,19,13,-474,-1248,-2169,-616,,,,,,,,,,,,-10,,,,,
,91,3,-1785,-5222,-8864,-10560,,,,,,,,,,,,3,,,,,
,3024,-12,-400,-1316,-2556,-3035,,,,,,,,,,,,7,,,,,
,-3858,-26,-1,-12,333,-3607,,,,,,,,,,,,,,,,,
,785,4,427,1131,2640,-2702,,,,,,,,,,,,8,,,,,
,-48,18,1767,5227,8255,18791,,,,,,,,,,,,-8,,,,,
,307,-22,475,1283,1462,10279,,,,,,,,,,,,2,,,,,
,1351,3,24,663,830,3885,,,,,,,,,,,,-4,,,,,
,-1343,-3,-457,-1863,-2887,-6301,,,,,,,,,,,,-5,,,,,
,-841,3,-1808,-5161,-7548,-37460,,,,,,,,,,,,7,,,,,
,102,-3,-475,-1350,-2337,-5870,,,,,,,,,,,,-2,,,,,
,-444,-9,4,-3,-463,13272,,,,,,,,,,,,2,,,,,
,18,-1,487,1308,1812,9844,,,,,,,,,,,,-7,,,,,
,107,-17,1807,5240,8725,22661,,,,,,,,,,,,2,,,,,
,109,18,412,1324,2765,-3745,,,,,,,,,,,,9,,,,,
,-156,-17,-23,8,-104,3773,,,,,,,,,,,,-9,,,,,
,71,-14,-443,-1239,-2470,6720,,,,,,,,,,,,-9,,,,,
,141,1,-1764,-5156,-8720,-24587,,,,,,,,,,,,6,,,,,
,416,,-434,-1392,-2000,-16285,,,,,,,,,,,,4,,,,,
,65,13,-35,-119,526,-14280,,,,,,,,,,,,2,,,,,
,-75,-2,435,1242,2034,7624,,,,,,,,,,,,10,,,,,
,211,-12,1793,5249,8008,41230,,,,,,,,,,,,-8,,,,,
,-519,-21,477,1491,1877,13046,,,,,,,,,,,,-9,,,,,
,2007,4,30,12,230,-5936,,,,,,,,,,,,-1,,,,,
,-2354,-1,-492,-1348,-1458,-17527,,,,,,,,,,,,,,,,,
,384,,-1828,-5231,-8454,-23253,,,,,,,,,,,,18,,,,,
,324,-13,-421,-1401,-2731,2132,,,,,,,,,,,,4,,,,,
,4379,14,28,90,-302,4043,,,,,,,,,,,,-10,,,,,
,-3861,-4,463,1247,2304,247,,,,,,,,,,,,-8,,,,,
,-1465,,1775,5135,9035,14059,,,,,,,,,,,,15,,,,,
,162,-25,415,1411,2164,11060,,,,,,,,,,,,-9,,,,,
,677,-4,7,-42,-528,10282,,,,,,,,,,,,8,,,,,
,-25,20,-413,-1205,-2447,482,,,,,,,,,,,,4,,,,,
,-352,-18,-1780,-4805,-7409,-26554,,,,,,,,,,,,-15,,,,,
,-39,-10,-456,-1987,-2661,-25961,,,,,,,,,,,,-8,,,,,
,1,-4,-41,134,285,2583,,,,,,,,,,,,9,,,,,
,-166,2,445,1238,1661,15115,,,,,,,,,,,,-5,,,,,
,-48,9,1832,5329,8141,27905,,,,,,,,,,,,2,,,,,
,222,1,460,1433,2379,3900,,,,,,,,,,,,2,,,,,
,9,-1,-16,-109,580,-10968,,,,,,,,,,,,-7,,,,,
,-281,-29,-489,-1234,-1997,-4093,,,,,,,,,,,,2,,,,,
,501,,-1797,-5240,-8924,-13215,,,,,,,,,,,,6,,,,,
,825,20,-406,-1316,-2583,-3167,,,,,,,,,,,,-3,,,,,
,-1114,-23,23,24,170,-3434,,,,,,,,,,,,2,,,,,
