Packet Number (n), App Timestamp (us),Sensor Timestamp (us),Fp1 (uV),Disabled (uV),F3 (uV),Fz (uV),F4 (uV),Disabled (uV),C3 (uV),Cz (uV),C4 (uV),Disabled (uV),P3 (uV),Pz (uV),P4 (uV),Disabled (uV),Disabled (uV),Ref,AccX (mg),AccY (mg),AccZ (mg),Event A, Event B
,-3305,-9,11,,,9,2,,1,-14,8,,-3,-1,-4,,,-4,,,,,
,-659,21,-1,,15,10,11,,21,19,16,,5,8,20,,,-8,,,,,
,337,19,-15,,1,-18,-2,,-13,6,-4,,12,-4,-6,,,11,,,,,
,-731,-27,-2,,-14,1,-3,,-7,7,-9,,-4,-6,,,,-17,,,,,
,537,14,17,,6,-1,3,,13,-15,2,,-1,10,9,,,1,,,,,
,-748,-29,-8,,4,1,2,,-5,-7,-7,,-6,-3,8,,,6,,,,,
,125,24,7,,13,14,14,,22,13,12,,14,5,,,,12,,,,,
,410,-17,-1,,-5,8,6,,-12,-5,9,,2,20,-10,,,-10,,,,,
,-197,4,-10,,-8,-29,-33,,-18,-8,-8,,-16,-13,-12,,,18,,,,,
,167,13,7,,-9,7,-14,,4,,-14,,-5,-18,11,,,-22,,,,,
,-281,-30,-12,,4,-5,19,,-7,7,-2,,-7,-21,2,,,-1,,,,,
,3252,14,13,,11,18,12,,13,2,16,,-6,27,-5,,,12,,,,,
,-2106,1,-4,,-13,-12,-12,,-2,-4,-11,,-1,-5,5,,,-8,,,,,
,-1170,-13,-10,,-5,-16,-5,,-15,-4,-9,,-1,-9,-5,,,4,,,,,
,3167,11,-6,,-2,6,8,,4,3,10,,18,9,-10,,,2,,,,,
,-3299,6,-7,,-6,10,-6,,-7,-1,-4,,-8,-10,-10,,,4,,,,,
,-98,20,12,,24,7,-5,,16,7,15,,9,6,7,,,-5,,,,,
,-98,-20,-2,,6,-6,,,-12,17,18,,2,-1,10,,,-6,,,,,
,344,-29,11,,-2,-9,13,,1,-15,-21,,-7,7,3,,,4,,,,,
,3328,-2,-1,,-3,12,-5,,17,-2,6,,3,-6,-6,,,-5,,,,,
,-3085,2,2,,-10,7,10,,-4,8,-3,,4,3,-2,,,-6,,,,,
,12,19,4,,7,-3,19,,-6,2,7,,,11,8,,,5,,,,,
,-693,-16,8,,1,10,-11,,,5,4,,3,-10,7,,,6,,,,,
,261,13,-14,,-17,-15,-16,,-16,-10,-9,,-11,,-14,,,5,,,,,
,1049,-16,1,,-3,-11,-5,,13,-4,-1,,-2,4,7,,,5,,,,,
,-1144,-7,8,,18,11,10,,-2,-1,-5,,3,-17,7,,,-8,,,,,
,792,23,-9,,,10,3,,18,-5,-7,,2,1,,,,2,,,,,
,-699,-16,6,,1,-14,-2,,-14,8,4,,7,1,-2,,,5,,,,,
,469,1,-5,,-5,6,-5,,-1,13,4,,-2,11,,,,-14,,,,,
,4541,-1,2,,6,-2,-7,,1,-18,-5,,-7,3,-3,,,2,,,,,
,-3722,-1,,,-5,2,3,,1,-1,2,,8,-3,-10,,,2,,,,,
,-1009,-1,4,,-2,12,11,,4,3,10,,4,10,-3,,,-2,,,,,
,200,,-5,,-7,-20,-13,,-7,-20,-28,,-23,-21,-4,,,-2,,,,,
,-315,3,-6,,9,2,-2,,16,20,17,,16,15,20,,,1,,,,,
,-639,-34,7,,-2,10,-3,,-8,4,2,,3,11,12,,,14,,,,,
,538,,-10,,9,-9,-7,,-19,-16,-5,,-13,-2,-20,,,,,,,,
,-271,33,,,,2,7,,7,17,-7,,7,-10,-2,,,4,,,,,
,-324,-33,10,,,1,8,,22,1,14,,-5,,2,,,-14,,,,,
,2186,-14,-9,,-7,6,6,,-18,-14,-1,,2,-8,-10,,,8,,,,,
,-2436,3,13,,3,-3,2,,-2,2,5,,5,4,15,,,5,,,,,
,357,11,-13,,-9,-7,3,,4,10,-7,,-5,-6,3,,,-8,,,,,
,259,10,14,,-11,13,-4,,-5,-7,-6,,8,-2,-7,,,-5,,,,,
,6715,-10,-8,,-8,-11,-12,,14,10,-11,,-9,8,-15,,,5,,,,,
,-3294,2,-1,,16,1,7,,3,-7,19,,-4,-1,-1,,,-1,,,,,
,-3274,-7,4,,6,16,12,,2,4,5,,7,3,11,,,-7,,,,,
,6838,-5,-8,,1,-1,-10,,-15,,-6,,13,-1,4,,,-3,,,,,
,-3302,-21,2,,4,-6,-4,,5,-4,-4,,,-3,-2,,,15,,,,,
,-3219,13,-3,,10,-11,5,,-8,-9,,,-23,-5,4,,,-17,,,,,
,12710,-14,-5,,-15,-10,-13,,3,-18,,,3,1,-3,,,15,,,,,
,-3735,18,12,,-11,21,2,,12,27,10,,8,16,-7,,,7,,,,,
,-3288,1,-5,,-9,-12,4,,-16,-7,-7,,-18,-4,-5,,,-16,,,,,
,-3481,-18,2,,5,-8,-5,,1,-11,-2,,10,-29,-6,,,,,,,,
,-1514,-13,-5,,32,10,24,,6,13,9,,13,29,17,,,2,,,,,
,4239,-5,3,,-6,6,-6,,12,7,5,,5,1,7,,,9,,,,,
,-3153,8,-11,,-23,-14,-18,,-17,-15,-20,,-2,-25,-17,,,-12,,,,,
,1109,-3,6,,5,-2,1,,4,-2,2,,-6,-1,-9,,,-9,,,,,
,1673,11,7,,4,3,-1,,-7,2,6,,-5,16,1,,,14,,,,,
,-3494,1,-15,,-6,-7,-2,,-10,6,-18,,-7,-16,6,,,-10,,,,,
,-223,,-9,,-9,2,-1,,7,-7,-2,,-20,,1,,,6,,,,,
,1058,-12,22,,32,17,11,,5,13,8,,24,16,9,,,6,,,,,
,-2253,,-6,,-1,-4,1,,3,-9,21,,5,5,7,,,,,,,,
,5679,-22,6,,-17,-5,3,,8,1,-5,,-2,-3,1,,,-4,,,,,
