Packet Number (n), App Timestamp (us),Sensor Timestamp (us),Fp1 (uV),Fp2 (uV),F3 (uV),Fz (uV),F4 (uV),T3 (uV),C3 (uV),Cz (uV),C4 (uV),T4 (uV),P3 (uV),Pz (uV),P4 (uV),O1 (uV),O2 (uV),Ref,AccX (mg),AccY (mg),AccZ (mg),Event A, Event B
,129,5,,,,,,,,,,1799,,,,970,,-15,10,3,-21,,
,-209,-15,,,,,,,,,,342,,,,145,,49,-1,-4,-5,,
,795,12,,,,,,,,,,-1694,,,,-1112,,9,-15,-21,6,,
,-978,-13,,,,,,,,,,-938,,,,-658,,27,6,30,-7,,
,806,-16,,,,,,,,,,483,,,,189,,-18,1,-9,14,,
,-447,16,,,,,,,,,,1717,,,,882,,-13,-2,-16,11,,
,400,,,,,,,,,,,198,,,,17,,26,11,23,-15,,
,-526,-14,,,,,,,,,,-1758,,,,-1173,,23,-20,-8,4,,
,367,,,,,,,,,,,-960,,,,-681,,-25,-8,-2,4,,
,-127,-16,,,,,,,,,,643,,,,341,,-26,22,10,4,,
,972,-12,,,,,,,,,,2020,,,,1179,,1,1,-10,-21,,
,-754,14,,,,,,,,,,242,,,,71,,15,-12,,23,,
,-680,-19,,,,,,,,,,-1789,,,,-1199,,37,14,5,5,,
,778,1,,,,,,,,,,-1094,,,,-825,,-19,-1,6,-17,,
,-367,-15,,,,,,,,,,442,,,,133,,-48,-9,-15,7,,
,469,,,,,,,,,,,1839,,,,1005,,-15,-5,-17,-2,,
,-850,-14,,,,,,,,,,311,,,,158,,24,1,18,-4,,
,702,-2,,,,,,,,,,-1851,,,,-1260,,10,-2,11,11,,
,-856,-1,,,,,,,,,,-1007,,,,-752,,-5,5,-5,7,,
,981,-14,,,,,,,,,,597,,,,276,,-47,10,-1,-25,,
,-893,,,,,,,,,,,1808,,,,970,,8,-15,8,13,,
,412,,,,,,,,,,,-8,,,,-144,,47,14,-3,14,,
,-501,1,,,,,,,,,,-1552,,,,-959,,13,-5,-10,1,,
,601,-32,,,,,,,,,,-752,,,,-503,,-21,5,2,-4,,
,-62,16,,,,,,,,,,491,,,,162,,-7,-13,-2,-16,,
,65,1,,,,,,,,,,2006,,,,1168,,15,18,9,11,,
,93,-4,,,,,,,,,,167,,,,37,,42,-19,-6,2,,
,-854,-13,,,,,,,,,,-1774,,,,-1184,,-17,13,18,-11,,
,86,1,,,,,,,,,,-858,,,,-608,,-17,4,-4,-14,,
,2172,-19,,,,,,,,,,722,,,,385,,-13,-5,-15,5,,
,-1450,1,,,,,,,,,,1960,,,,1125,,-10,7,,-7,,
,435,-15,,,,,,,,,,-139,,,,-246,,7,-2,6,,,
,-269,-16,,,,,,,,,,-1680,,,,-1088,,-5,-19,-10,23,,
,-931,2,,,,,,,,,,-817,,,,-578,,25,11,8,-9,,
,979,-18,,,,,,,,,,709,,,,359,,-25,-6,,-3,,
,-1013,3,,,,,,,,,,2111,,,,1276,,-9,14,-4,-2,,
,1428,10,,,,,,,,,,-82,,,,-183,,52,-11,,8,,
,-1301,-10,,,,,,,,,,-2029,,,,-1434,,8,23,5,-10,,
,563,-17,,,,,,,,,,-751,,,,-510,,-31,-22,-11,17,,
,320,18,,,,,,,,,,802,,,,442,,-32,1,-6,-22,,
,-600,-3,,,,,,,,,,1865,,,,1031,,-7,12,8,,,
,1572,-11,,,,,,,,,,-96,,,,-175,,67,5,15,8,,
,-1828,14,,,,,,,,,,-1692,,,,-1104,,24,-20,-24,5,,
,104,-37,,,,,,,,,,-711,,,,-485,,-26,-13,23,,,
,272,3,,,,,,,,,,687,,,,326,,-41,13,-14,14,,
,814,-1,,,,,,,,,,1655,,,,815,,7,13,19,-29,,
,-219,-30,,,,,,,,,,-112,,,,-174,,61,-6,-15,11,,
,866,-6,,,,,,,,,,-1846,,,,-1247,,1,-1,-14,14,,
,-1306,36,,,,,,,,,,-959,,,,-740,,-54,3,11,-11,,
,-85,-35,,,,,,,,,,862,,,,485,,-53,-9,16,-2,,
,-5,-12,,,,,,,,,,2028,,,,1194,,36,1,-16,-6,,
,-431,10,,,,,,,,,,-113,,,,-163,,38,-18,11,15,,
,796,-27,,,,,,,,,,-1670,,,,-1081,,4,19,-13,5,,
,-417,-4,,,,,,,,,,-1000,,,,-788,,-27,13,13,-3,,
