Packet Number (n), App Timestamp (us),Sensor Timestamp (us),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Right arm 1 (uV),Right arm 2 (uV),Left leg (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled,AccX (mg),AccY (mg),AccZ (mg),Event A, Event B
1867,7901976,492228385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.66605,1.7433,-14.3934,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
,-387,-54,,,,,,,,,,-17,7,,,,,,,,,,
,2668,,,,,,,,,,-8,4,-4,,,,,,,,,,
,-1304,1,,,,,,,,,-7,-2,1,,,,,,,,,,
,-2233,37,,,,,,,,,19,,1,,,,,,,,,,
,-182,-2,,,,,,,,,7,,-6,,,,,,,,,,
,1226,-53,,,,,,,,,-2,8,3,,,,,,,,,,
,3712,-2,,,,,,,,,-12,6,3,,,,,,,,,,
,-3546,18,,,,,,,,,-4,-5,-13,,,,,,,,,,
,-396,1,,,,,,,,,2,-17,14,,,,,,,,,,
,1841,-20,,,,,,,,,-5,8,5,,,,,,,,,,
,-2233,,,,,,,,,,1,7,-9,,,,,,,,,,
,-217,,,,,,,,,,16,-2,4,,,,,,,,,,
,-362,-10,,,,,,,,,6,16,2,,,,,,,,,,
,101,-2,,,,,,,,,4,-9,-8,,,,,,,,,,
,66,14,,,,,,,,,-13,-5,2,,,,,,,,,,
,303,-13,,,,,,,,,2,1,-3,,,,,,,,,,
,2619,-21,,,,,,,,,1,-9,6,,,,,,,,,,
,-2052,-5,,,,,,,,,-2,16,-3,,,,,,,,,,
,310,6,,,,,,,,,12,-7,-2,,,,,,,,,,
,-246,,,,,,,,,,-6,-16,1,,,,,,,,,,
,148,-10,,,,,,,,,-1,4,-1,,,,,,,,,,
,-1166,-1,,,,,,,,,-14,19,,,,,,,,,,,
,1651,1,,,,,,,,,13,-12,-2,,,,,,,,,,
,-903,,,,,,,,,,-6,2,1,,,,,,,,,,
,744,9,,,,,,,,,-11,-8,4,,,,,,,,,,
,-604,-30,,,,,,,,,16,11,1,,,,,,,,,,
,-75,1,,,,,,,,,-1,-10,-6,,,,,,,,,,
,-626,1,,,,,,,,,-21,-10,4,,,,,,,,,,
,750,-12,,,,,,,,,11,20,10,,,,,,,,,,
,-334,-2,,,,,,,,,-2,-8,-9,,,,,,,,,,
,814,2,,,,,,,,,-2,10,9,,,,,,,,,,
,1525,16,,,,,,,,,4,3,-9,,,,,,,,,,
,-2974,-4,,,,,,,,,8,-4,,,,,,,,,,,
,537,-2,,,,,,,,,-3,-3,-3,,,,,,,,,,
,-343,-11,,,,,,,,,4,-7,7,,,,,,,,,,
,605,-1,,,,,,,,,-1,5,8,,,,,,,,,,
,-363,2,,,,,,,,,-7,-6,-8,,,,,,,,,,
,-276,-31,,,,,,,,,-2,7,5,,,,,,,,,,
,588,9,,,,,,,,,1,3,,,,,,,,,,,
,433,2,,,,,,,,,-2,10,-5,,,,,,,,,,
,-745,-11,,,,,,,,,-10,-6,-10,,,,,,,,,,
,109,-1,,,,,,,,,11,-5,,,,,,,,,,,
,292,2,,,,,,,,,6,,4,,,,,,,,,,
,-291,,,,,,,,,,4,-1,2,,,,,,,,,,
,337,-3,,,,,,,,,3,-6,-6,,,,,,,,,,
,-243,3,,,,,,,,,-9,-3,1,,,,,,,,,,
,62,-21,,,,,,,,,-3,3,17,,,,,,,,,,
