Packet Number (n), App Timestamp (us),Sensor Timestamp (us),Fp1 (uV),Fp2 (uV),F3 (uV),Fz (uV),F4 (uV),T3 (uV),C3 (uV),Cz (uV),C4 (uV),T4 (uV),P3 (uV),Pz (uV),P4 (uV),O1 (uV),O2 (uV),Ref,AccX (mg),AccY (mg),AccZ (mg),Event A, Event B
,-754,-1,2,10,-2,5,7,3,14,1,5,7,-4,-8,-9,-4,-16,16,,,,,
,-252,1,1,-5,13,-1,4,4,11,-1,-14,-2,2,-3,-2,4,4,-9,,,,,
,-473,-1,-8,-17,-12,-9,-13,,-12,1,,-11,3,1,-14,-3,-2,-5,,,,,
,528,,5,10,2,15,6,-7,-10,15,11,5,-8,4,15,8,-5,-3,,,,,
,9,1,9,13,19,2,1,-7,12,-15,-4,4,-8,8,9,-3,10,11,,,,,
,1648,5,-8,-17,-15,-4,4,1,-6,6,-7,-4,1,-4,-9,-3,5,-8,,,,,
,384,-14,7,10,1,6,7,9,2,-1,7,5,9,-1,-11,-6,-2,-5,,,,,
,-2199,34,-3,12,1,-2,1,1,10,-5,-1,-6,6,-8,13,2,-7,-2,,,,,
,946,-25,-13,-13,-3,-12,-10,1,-1,10,-1,1,-3,-8,-6,3,-6,5,,,,,
,-1183,-30,13,-14,8,-4,-12,-10,-11,9,-13,-8,-13,2,-13,-3,1,-8,,,,,
,476,4,1,2,-4,11,12,2,5,-4,6,3,3,9,7,2,17,7,,,,,
,379,-4,-7,15,-3,,-1,1,-4,-7,-8,4,-5,7,11,-3,-5,3,,,,,
,-124,-6,-2,-7,,-4,2,5,5,-8,7,5,18,1,1,3,-4,-10,,,,,
,380,9,2,-7,-9,-9,-7,-16,-10,,22,3,9,3,,15,1,5,,,,,
,-935,-3,1,11,15,15,5,10,10,19,-5,-9,-20,-4,-10,-6,-2,5,,,,,
,16,-9,9,1,-1,4,-5,2,-6,-8,1,,-5,,7,-1,5,3,,,,,
,517,13,-5,,,1,-3,7,11,-6,-2,1,8,-3,11,-6,-12,-16,,,,,
,-793,-16,,5,10,4,4,4,-2,,-14,-5,-1,-7,-15,-6,-11,-7,,,,,
,44,4,1,-8,-4,,6,,,2,-3,-2,1,4,-3,-3,7,12,,,,,
,250,8,-7,-3,-10,-19,-8,-17,-13,-9,9,5,2,-1,3,5,4,16,,,,,
,241,,4,,6,-1,11,5,8,2,8,14,3,-2,3,2,-1,-10,,,,,
,327,4,-2,5,12,6,-11,-1,-4,,9,11,-7,4,3,12,12,-3,,,,,
,-1115,-15,1,3,-15,-4,-6,-3,-13,-8,-10,-15,-1,-2,3,-5,-2,7,,,,,
,2675,2,1,3,1,3,16,1,14,14,-20,-2,-10,8,3,-8,-3,-5,,,,,
,-1793,2,-13,-1,2,,-4,13,11,13,7,-5,-4,-3,-9,10,-7,-6,,,,,
,-888,-22,8,1,3,1,-3,-1,-8,-3,1,-8,12,8,-2,-9,-4,7,,,,,
,749,21,5,-9,-10,1,-5,-7,8,-7,-8,7,3,-5,-3,,8,7,,,,,
,-285,-3,-7,-4,-5,2,-5,2,-2,-9,2,6,-6,-11,4,-3,-11,1,,,,,
,557,-19,-1,1,15,-9,13,4,-9,10,13,-8,-4,1,7,-3,-8,-7,,,,,
,232,20,22,10,-6,17,1,-7,1,1,-9,6,11,-8,-7,-1,3,-10,,,,,
